funded_amnt,emp_length,annual_inc,home_ownership,grade,last_pymnt_amnt,mort_acc,pub_rec,int_rate,open_acc,num_actv_rev_tl,mo_sin_rcnt_rev_tl_op,mo_sin_old_rev_tl_op,bc_util,bc_open_to_buy,avg_cur_bal,acc_open_past_24mths,loan_status
5050.0,8,35000.0,5,5,175.83,1.8110042285638381,0.0,15.31,5.0,5.675353736832263,14.10822232888069,178.48733084417407,66.8300107785702,8262.878065935047,13796.095652770158,3.929481502800593,1
20000.0,6,80000.0,6,5,8989.47,2.0,0.0,15.31,11.0,7.0,39.0,78.0,87.4,4225.0,19134.0,1.0,0
1400.0,6,32000.0,6,6,49.85,1.0,0.0,14.09,24.0,5.675353736832263,14.10822232888069,178.48733084417407,9.2,726.0,13796.095652770158,11.0,0
17625.0,1,40000.0,6,2,504.59,0.0,0.0,23.76,11.0,7.0,36.0,132.0,99.8,8.0,2676.0,2.0,1
3600.0,2,27000.0,5,7,2619.04,0.0,0.0,8.9,12.0,5.675353736832263,14.10822232888069,178.48733084417407,0.0,3600.0,13796.095652770158,2.0,0
3600.0,5,80000.0,6,4,129.72,2.0,0.0,17.76,18.0,12.0,2.0,70.0,63.2,11372.0,8580.0,10.0,1
19425.0,3,49900.0,6,5,10395.48,0.0,0.0,15.31,8.0,5.675353736832263,14.10822232888069,178.48733084417407,94.5,485.0,13796.095652770158,1.0,0
7900.0,8,48935.0,5,4,4315.1,0.0,0.0,17.77,14.0,6.0,3.0,144.0,99.3,49.0,6551.0,8.0,0
10000.0,3,45000.0,6,4,370.22,2.0,0.0,19.72,5.0,3.0,1.0,118.0,97.7,146.0,13074.0,3.0,1
25450.0,10,80000.0,6,6,848.68,0.0,0.0,12.12,10.0,5.675353736832263,14.10822232888069,178.48733084417407,86.0,4983.0,13796.095652770158,1.0,0
10000.0,3,68000.0,5,5,348.18,0.0,0.0,15.31,10.0,5.0,1.0,125.0,62.2,2913.0,1827.0,4.0,1
7025.0,10,67000.0,6,5,247.76,1.0,1.0,16.29,10.0,7.0,8.0,96.0,81.4,930.0,10207.0,4.0,0
27300.0,10,70000.0,6,3,753.69,3.0,0.0,21.98,12.0,10.0,4.0,140.0,95.5,1580.0,17726.0,3.0,1
7200.0,2,42000.0,5,5,6316.08,0.0,0.0,16.29,7.0,5.675353736832263,14.10822232888069,178.48733084417407,59.1,6373.0,13796.095652770158,5.0,0
8975.0,3,26500.0,4,6,1082.25,0.0,0.0,13.11,9.0,6.0,16.0,178.0,40.9,14549.0,2552.0,4.0,0
23850.0,10,57000.0,6,4,14639.92,2.0,0.0,18.55,7.0,6.0,27.0,124.0,80.4,2212.0,15026.0,0.0,0
2000.0,8,39000.0,6,4,871.85,1.0,0.0,18.75,9.0,4.0,4.0,135.0,66.8300107785702,8262.878065935047,11616.0,2.0,0
12000.0,10,135000.0,4,6,407.98,2.0,0.0,13.11,21.0,9.0,9.0,348.0,60.5,12254.0,11430.0,6.0,0
16000.0,1,90000.0,5,6,3625.43,1.0,0.0,12.12,16.0,5.0,7.0,333.0,45.9,14061.0,3846.0,5.0,0
10000.0,5,55000.0,5,2,9927.55,0.0,0.0,24.08,8.0,4.0,6.0,103.0,93.0,1066.0,2456.0,7.0,0
20000.0,8,102000.0,6,7,10124.69,5.0,0.0,7.9,16.0,4.0,9.0,144.0,36.3,43317.0,29708.0,3.0,0
16000.0,8,45000.0,5,4,587.9,0.0,0.0,19.2,8.0,5.0,4.0,72.0,86.9,667.0,841.0,2.0,0
9500.0,0,38000.0,5,4,7518.16,0.0,0.0,19.72,6.0,5.0,1.0,98.0,80.6,1515.0,1703.0,2.0,0
35000.0,6,105000.0,6,5,21538.63,3.0,0.0,17.1,10.0,6.0,7.0,114.0,77.0,7186.0,24989.0,4.0,0
3000.0,7,44000.0,6,5,104.32,3.0,0.0,15.22,10.0,7.0,5.0,220.0,44.0,17177.0,24043.0,7.0,1
17000.0,2,82000.0,6,2,485.42,2.0,0.0,23.63,5.0,2.0,64.0,112.0,66.8300107785702,8262.878065935047,72766.0,2.0,1
35000.0,2,110000.0,5,5,1190.79,3.0,0.0,13.68,9.0,7.0,27.0,300.0,70.7,15314.0,4706.0,1.0,1
15000.0,9,57000.0,6,5,425.76,3.0,0.0,17.27,10.0,8.0,5.0,185.0,96.1,695.0,2848.0,3.0,0
4750.0,7,18000.0,5,3,177.72,0.0,0.0,20.49,6.0,3.0,1.0,90.0,89.0,1213.0,2846.0,2.0,1
11500.0,5,33000.0,6,2,978.52,2.0,2.0,24.08,6.0,3.0,0.0,184.0,99.7,20.0,8565.0,3.0,0
25450.0,6,80000.0,6,1,744.46,1.0,0.0,24.83,14.0,9.0,4.0,320.0,85.8,2699.0,3979.0,8.0,1
20000.0,10,143000.0,6,6,1308.16,1.0,0.0,10.99,7.0,5.0,13.0,331.0,65.9,10102.0,17704.0,1.0,0
18000.0,4,184000.0,6,6,4534.67,2.0,1.0,9.71,11.0,3.0,2.0,181.0,58.5,8017.0,20156.0,3.0,0
3250.0,10,43200.0,6,6,111.19,1.0,0.0,14.09,5.0,1.0,21.0,47.0,38.4,616.0,3987.0,1.0,0
15000.0,1,42500.0,5,5,273.11,0.0,0.0,16.29,8.0,5.0,22.0,100.0,92.2,619.0,2112.0,2.0,1
35000.0,0,150000.0,6,5,10706.6,4.0,0.0,17.1,22.0,8.0,12.0,158.0,60.9,14137.0,22941.0,9.0,0
23800.0,3,92000.0,6,5,813.32,7.0,0.0,13.99,10.0,5.675353736832263,14.10822232888069,178.48733084417407,65.4,2078.0,13796.095652770158,4.0,1
30000.0,4,135000.0,6,2,52.56,3.0,0.0,23.76,13.0,9.0,2.0,164.0,98.8,291.0,31203.0,2.0,1
6000.0,1,24000.0,5,6,2970.16,0.0,0.0,12.12,5.0,5.675353736832263,14.10822232888069,178.48733084417407,95.4,148.0,13796.095652770158,0.0,0
5000.0,10,32000.0,6,5,1017.81,1.0,1.0,15.61,12.0,7.0,4.0,153.0,95.1,243.0,6492.0,5.0,0
8000.0,1,35000.0,6,5,192.9,2.0,0.0,15.61,5.0,2.0,17.0,296.0,90.5,988.0,28000.0,3.0,1
15000.0,9,72000.0,6,7,480.16,1.8110042285638381,0.0,7.9,7.0,5.675353736832263,14.10822232888069,178.48733084417407,66.8300107785702,8262.878065935047,13796.095652770158,3.929481502800593,0
24575.0,10,56562.96,6,5,612.08,2.0,0.0,17.1,15.0,6.0,7.0,145.0,94.7,956.0,10289.0,5.0,1
20000.0,1,50000.0,6,3,529.77,0.0,0.0,19.99,3.0,5.675353736832263,14.10822232888069,178.48733084417407,84.1,4380.0,13796.095652770158,1.0,1
35000.0,5,100000.0,5,4,1286.86,0.0,0.0,19.22,12.0,5.675353736832263,14.10822232888069,178.48733084417407,54.7,17849.0,13796.095652770158,4.0,1
8000.0,2,38400.0,6,4,298.07,1.8110042285638381,0.0,16.77,2.0,5.675353736832263,14.10822232888069,178.48733084417407,66.8300107785702,8262.878065935047,13796.095652770158,3.929481502800593,0
16100.0,1,100000.0,6,6,358.06,3.0,0.0,11.99,7.0,3.0,11.0,236.0,85.8,2304.0,32749.0,3.0,1
24000.0,3,185000.0,5,5,275.0,2.0,0.0,16.78,12.0,7.0,8.0,131.0,79.5,5460.0,6181.0,5.0,1
9600.0,2,56000.0,6,6,314.93,1.0,0.0,11.14,27.0,11.0,1.0,297.0,26.7,34535.0,5671.0,6.0,1
18200.0,9,52000.0,6,4,469.62,4.0,0.0,18.75,15.0,12.0,5.0,200.0,55.6,25713.0,11059.0,3.0,1
7200.0,5,35000.0,5,6,2730.43,0.0,1.0,12.12,8.0,7.0,2.0,80.0,42.1,4808.0,3027.0,4.0,0
8000.0,6,34200.0,5,5,282.41,0.0,0.0,16.29,6.0,5.0,21.0,111.0,91.3,1065.0,2272.0,1.0,1
6800.0,4,72000.0,6,6,4093.23,4.0,0.0,11.14,8.0,5.675353736832263,14.10822232888069,178.48733084417407,83.1,3405.0,13796.095652770158,3.0,0
10800.0,8,40000.0,5,6,356.3,0.0,0.0,11.55,7.0,4.0,7.0,148.0,77.2,5769.0,4071.0,3.0,0
17050.0,10,75000.0,6,6,12936.0,1.0,1.0,10.16,7.0,2.0,5.0,169.0,81.8,565.0,23345.0,5.0,0
7425.0,2,37752.0,5,5,254.54,0.0,0.0,14.33,5.0,4.0,9.0,62.0,62.8,4578.0,2499.0,6.0,0
16425.0,10,37000.0,6,3,453.46,4.0,0.0,21.98,5.0,4.0,7.0,136.0,75.5,3746.0,9342.0,1.0,1
7000.0,7,30000.0,5,4,1717.12,1.0,0.0,18.25,8.0,5.0,2.0,114.0,97.9,141.0,16478.0,5.0,0
21250.0,8,48000.0,6,6,483.4,5.0,0.0,12.99,17.0,8.0,15.0,209.0,55.3,26311.0,14695.0,7.0,1
20000.0,10,85000.0,6,6,426.52,6.0,0.0,10.16,12.0,10.0,36.0,200.0,66.9,26924.0,24128.0,1.0,1
21500.0,1,55000.0,5,5,518.4,0.0,0.0,15.61,9.0,2.0,29.0,142.0,84.8,3351.0,8357.0,4.0,1
12700.0,0,26400.0,5,7,396.3,0.0,0.0,6.62,5.0,5.675353736832263,14.10822232888069,178.48733084417407,33.0,8238.0,13796.095652770158,2.0,0
16850.0,4,50000.0,6,5,594.82,3.0,0.0,16.29,12.0,3.0,8.0,121.0,70.2,2978.0,30787.0,4.0,1
25000.0,10,82000.0,6,5,598.83,7.0,0.0,15.31,10.0,5.0,45.0,197.0,89.6,2012.0,38747.0,1.0,1
10625.0,10,54000.0,6,5,369.94,6.0,0.0,15.31,21.0,17.0,47.0,119.0,95.7,1012.0,8516.0,1.0,1
15000.0,7,80000.0,6,6,9436.19,3.0,0.0,11.14,7.0,6.0,31.0,114.0,85.4,5326.0,54995.0,0.0,0
10000.0,5,40000.0,5,4,362.78,0.0,1.0,18.25,14.0,7.0,7.0,136.0,44.6,3213.0,2795.0,7.0,1
25000.0,1,80000.0,5,3,963.96,0.0,0.0,21.49,16.0,5.675353736832263,14.10822232888069,178.48733084417407,94.9,1354.0,13796.095652770158,6.0,0
3600.0,7,53000.0,6,5,260.9,0.0,0.0,14.33,14.0,5.0,9.0,191.0,20.1,7751.0,5255.0,10.0,0
10000.0,1,92000.0,6,7,2397.41,1.8110042285638381,0.0,6.03,11.0,5.675353736832263,14.10822232888069,178.48733084417407,66.8300107785702,8262.878065935047,13796.095652770158,3.929481502800593,0
3500.0,1,38000.0,5,6,118.12,0.0,0.0,13.11,8.0,5.675353736832263,14.10822232888069,178.48733084417407,38.1,3340.0,13796.095652770158,3.0,1
4000.0,8,95000.0,6,5,139.86,1.0,0.0,15.61,16.0,9.0,14.0,124.0,96.8,705.0,17448.0,5.0,1
10225.0,10,320400.0,5,6,231.04,1.8110042285638381,0.0,12.69,7.0,5.675353736832263,14.10822232888069,178.48733084417407,66.8300107785702,8262.878065935047,13796.095652770158,3.929481502800593,1
12000.0,3,55000.0,5,5,450.0,0.0,0.0,15.31,8.0,3.0,9.0,88.0,94.8,515.0,7280.0,4.0,1
15000.0,9,42000.0,5,6,5311.43,1.8110042285638381,0.0,13.67,9.0,5.675353736832263,14.10822232888069,178.48733084417407,66.8300107785702,8262.878065935047,13796.095652770158,3.929481502800593,0
25000.0,4,115000.0,6,6,4897.88,4.0,0.0,12.35,12.0,4.0,11.0,197.0,84.6,4197.0,46798.0,5.0,0
11000.0,10,53620.0,6,4,282.27,5.0,0.0,18.49,8.0,4.0,47.0,266.0,100.1,0.0,35925.0,2.0,1
7125.0,1,30000.0,5,5,266.52,0.0,0.0,16.29,9.0,6.0,17.0,90.0,79.4,1133.0,1468.0,3.0,1
5000.0,2,40000.0,5,3,191.99,0.0,0.0,22.4,10.0,6.0,1.0,25.0,87.2,370.0,2981.0,10.0,1
26300.0,10,83000.0,5,1,25.2,0.0,0.0,24.7,6.0,5.675353736832263,14.10822232888069,178.48733084417407,97.9,168.0,13796.095652770158,4.0,1
14300.0,10,90000.0,5,6,495.28,0.0,0.0,14.09,9.0,5.675353736832263,14.10822232888069,178.48733084417407,40.3,31176.0,13796.095652770158,4.0,0
28000.0,7,220000.0,5,3,1061.96,3.0,0.0,21.49,9.0,4.0,12.0,330.0,57.3,6997.0,1213.0,4.0,1
15000.0,5,45000.0,5,4,548.71,0.0,0.0,18.85,10.0,7.0,2.0,157.0,83.8,617.0,1390.0,6.0,1
8300.0,7,35000.0,6,5,285.01,1.0,0.0,14.33,11.0,8.0,8.0,152.0,62.1,1933.0,8630.0,2.0,1
25000.0,5,300000.0,6,4,2006.05,5.0,0.0,17.77,12.0,5.0,13.0,143.0,70.4,18736.0,23095.0,2.0,0
33600.0,3,88000.0,5,5,836.86,8.0,0.0,17.1,4.0,2.0,31.0,229.0,5.6,27185.0,4638.0,1.0,1
25000.0,10,134200.0,6,3,690.19,3.0,0.0,21.98,25.0,19.0,2.0,327.0,80.5,5316.0,8014.0,16.0,1
15000.0,7,80000.0,5,6,498.15,0.0,0.0,11.99,12.0,7.0,4.0,96.0,61.3,3138.0,6172.0,6.0,1
10000.0,2,38900.0,5,6,335.45,1.8110042285638381,0.0,12.69,6.0,5.675353736832263,14.10822232888069,178.48733084417407,66.8300107785702,8262.878065935047,13796.095652770158,3.929481502800593,1
10400.0,3,65000.0,6,6,333.95,1.0,0.0,9.67,16.0,12.0,14.0,181.0,76.6,2641.0,27051.0,9.0,0
11650.0,2,52000.0,6,6,384.34,0.0,1.0,11.55,8.0,4.0,21.0,138.0,53.4,4662.0,3912.0,2.0,0
13000.0,9,44500.0,5,4,7980.52,0.0,1.0,19.22,10.0,7.0,0.0,83.0,29.0,9230.0,1482.0,6.0,0
9450.0,10,50000.0,6,6,8859.6,3.0,0.0,11.14,9.0,6.0,9.0,257.0,48.8,19194.0,31704.0,5.0,0
10000.0,5,85000.0,5,6,1331.05,1.0,1.0,13.05,10.0,7.0,5.0,395.0,71.4,2832.0,3392.0,4.0,0
13475.0,2,53000.0,5,6,7881.18,0.0,0.0,12.35,18.0,5.0,12.0,101.0,92.5,894.0,3624.0,7.0,0
10000.0,2,30000.0,6,6,323.16,1.0,0.0,10.16,12.0,3.0,13.0,70.0,36.9,15889.0,12104.0,5.0,0
16000.0,10,92500.0,6,7,5229.46,5.0,0.0,6.03,9.0,4.0,69.0,276.0,59.5,7657.0,14164.0,0.0,0
10000.0,2,80000.0,6,4,360.38,1.0,0.0,17.77,18.0,6.0,1.0,163.0,69.2,3431.0,10140.0,10.0,1
24000.0,1,100000.0,5,6,13783.32,6.0,0.0,11.14,4.0,2.0,48.0,317.0,73.7,9922.0,12293.0,1.0,0
5000.0,10,125000.0,5,4,372.25,7.0,0.0,20.2,13.0,9.0,4.0,117.0,78.7,2851.0,8332.0,6.0,0
8000.0,10,70000.0,6,6,265.51,4.0,0.0,11.99,4.0,2.0,42.0,190.0,68.2,2038.0,29285.0,2.0,0
16550.0,10,61503.52,6,5,15805.7,1.0,0.0,15.31,7.0,4.0,21.0,182.0,80.2,5867.0,41343.0,5.0,0
10000.0,10,65000.0,6,7,317.54,1.0,0.0,8.9,8.0,6.0,30.0,129.0,50.3,7560.0,11421.0,1.0,1
6350.0,10,38000.0,5,4,228.84,0.0,0.0,17.77,8.0,6.0,6.0,152.0,86.1,612.0,1068.0,2.0,1
4800.0,1,20800.0,5,5,166.35,0.0,0.0,14.98,11.0,7.0,1.0,71.0,50.8,3343.0,871.0,2.0,1
28125.0,10,63000.0,6,5,673.68,2.0,0.0,15.31,8.0,4.0,16.0,245.0,45.1,31040.0,30679.0,1.0,1
18200.0,7,82500.0,5,2,519.68,0.0,0.0,23.63,12.0,6.0,40.0,167.0,83.3,585.0,9463.0,2.0,1
16850.0,0,37474.0,6,6,568.15,3.0,1.0,13.05,8.0,6.0,15.0,279.0,97.3,241.0,20160.0,2.0,1
8725.0,1,26000.0,5,4,320.05,0.0,0.0,19.05,13.0,8.0,2.0,55.0,61.1,3770.0,1168.0,9.0,1
4000.0,9,48000.0,6,6,1830.42,4.0,0.0,9.76,11.0,5.675353736832263,14.10822232888069,178.48733084417407,94.4,301.0,13796.095652770158,4.0,0
8000.0,6,43000.0,5,6,266.79,0.0,0.0,12.35,8.0,5.0,6.0,63.0,71.1,3205.0,2825.0,6.0,0
15000.0,1,60000.0,5,6,13396.1,0.0,0.0,13.11,6.0,4.0,10.0,81.0,86.5,1381.0,3705.0,2.0,0
21250.0,10,48000.0,6,4,12108.28,0.0,0.0,19.72,7.0,6.0,8.0,124.0,91.7,1167.0,6165.0,2.0,0
28000.0,10,65000.0,6,6,652.82,4.0,0.0,14.09,8.0,4.0,2.0,138.0,43.9,11723.0,25687.0,6.0,1
10000.0,10,60000.0,5,6,321.13,4.0,1.0,9.67,6.0,3.0,4.0,172.0,95.4,264.0,6820.0,3.0,1
14125.0,1,38500.0,5,4,7763.8,0.0,0.0,18.49,13.0,3.0,2.0,50.0,28.9,9810.0,2241.0,11.0,0
21725.0,6,49000.0,6,5,746.0,0.0,0.0,14.33,15.0,9.0,2.0,178.0,51.7,13659.0,4492.0,8.0,1
5000.0,8,51000.0,5,6,4233.34,0.0,0.0,13.67,8.0,5.675353736832263,14.10822232888069,178.48733084417407,34.0,3830.0,13796.095652770158,2.0,0
6000.0,10,50000.0,6,7,184.23,5.0,0.0,6.62,15.0,5.675353736832263,14.10822232888069,178.48733084417407,48.4,14916.0,13796.095652770158,9.0,1
2500.0,9,34000.0,4,2,97.69,0.0,0.0,23.7,10.0,9.0,7.0,146.0,77.6,4183.0,1956.0,7.0,1
30000.0,10,203997.0,6,4,24270.77,2.0,0.0,17.76,8.0,3.0,3.0,121.0,78.8,2857.0,27333.0,2.0,0
5000.0,2,19500.0,5,5,1023.21,0.0,0.0,15.88,6.0,4.0,20.0,91.0,98.0,102.0,1477.0,3.0,0
24925.0,8,49920.0,5,4,649.59,0.0,0.0,19.22,11.0,5.675353736832263,14.10822232888069,178.48733084417407,45.6,5552.0,13796.095652770158,2.0,1
19800.0,6,48000.0,6,5,18181.14,0.0,0.0,15.31,4.0,4.0,9.0,295.0,52.3,6914.0,2263.0,2.0,0
16000.0,8,75000.0,5,6,539.03,0.0,0.0,12.99,6.0,4.0,16.0,378.0,97.4,155.0,4394.0,1.0,1
20000.0,10,50000.0,6,6,466.3,3.0,0.0,14.09,7.0,2.0,12.0,125.0,97.6,210.0,18101.0,2.0,1
21000.0,10,67000.0,5,2,605.11,0.0,2.0,24.08,9.0,6.0,7.0,153.0,85.8,2065.0,2339.0,5.0,1
35000.0,3,96000.0,6,3,949.83,1.0,0.0,21.15,9.0,4.0,33.0,125.0,77.5,6490.0,38110.0,3.0,1
14000.0,10,100000.0,5,4,504.43,1.0,0.0,17.76,13.0,5.0,8.0,278.0,27.2,3932.0,4970.0,4.0,0
8000.0,10,40000.0,6,6,5436.58,1.0,0.0,10.16,5.0,3.0,11.0,104.0,62.6,4225.0,5900.0,3.0,0
3000.0,10,75000.0,5,3,112.25,0.0,0.0,20.49,2.0,5.675353736832263,14.10822232888069,178.48733084417407,85.2,163.0,13796.095652770158,3.0,1
5000.0,10,72000.0,6,5,174.09,2.0,0.0,15.31,9.0,5.675353736832263,14.10822232888069,178.48733084417407,80.3,1195.0,13796.095652770158,4.0,1
2000.0,7,45000.0,5,5,70.52,0.0,0.0,16.2,7.0,5.0,11.0,249.0,83.6,625.0,4324.0,4.0,1
12300.0,7,35578.0,6,4,447.86,2.0,0.0,18.55,11.0,6.0,2.0,158.0,73.2,2308.0,6431.0,8.0,0
20000.0,2,60000.0,6,3,15296.33,1.0,0.0,21.98,5.0,5.675353736832263,14.10822232888069,178.48733084417407,80.0,3361.0,13796.095652770158,5.0,0
14000.0,6,38000.0,6,2,400.32,1.0,0.0,23.7,8.0,3.0,3.0,38.0,96.0,223.0,15835.0,5.0,1
28000.0,4,65000.0,6,6,1271.07,2.0,0.0,13.11,7.0,4.0,35.0,139.0,94.6,31627.0,37536.0,0.0,0
10000.0,4,45000.0,5,4,0.63,0.0,0.0,17.76,14.0,4.0,7.0,103.0,98.7,156.0,4248.0,3.0,0
12000.0,1,48000.0,5,6,400.18,0.0,0.0,12.35,10.0,4.0,5.0,78.0,78.1,2627.0,4601.0,5.0,0
28000.0,8,200000.0,6,3,759.86,1.0,0.0,21.15,21.0,12.0,2.0,85.0,55.1,10877.0,12840.0,9.0,1
30000.0,10,85000.0,6,2,26603.45,1.0,0.0,23.5,18.0,7.0,9.0,176.0,55.7,26282.0,11189.0,4.0,0
25000.0,2,450000.0,6,6,850.44,5.0,2.0,13.67,15.0,7.0,2.0,150.0,60.8,8860.0,38900.0,3.0,1
15000.0,9,51000.0,6,6,2479.44,1.0,0.0,12.99,8.0,2.0,5.0,145.0,76.2,1592.0,14243.0,7.0,0
20800.0,1,50000.0,5,4,540.14,0.0,0.0,19.05,7.0,3.0,10.0,78.0,98.2,203.0,4641.0,4.0,1
5000.0,3,26000.0,6,6,168.6,1.0,1.0,13.05,7.0,4.0,19.0,147.0,22.0,7566.0,3288.0,3.0,1
35000.0,4,82000.0,6,6,1162.34,6.0,0.0,11.99,7.0,6.0,16.0,234.0,88.3,5685.0,35823.0,1.0,1
15000.0,5,75900.0,6,7,11326.81,5.0,0.0,9.25,16.0,7.0,9.0,192.0,73.0,6030.0,13114.0,3.0,0
13000.0,10,70000.0,6,6,426.28,3.0,0.0,11.14,14.0,7.0,4.0,178.0,40.0,13076.0,6076.0,5.0,0
10000.0,10,47900.0,6,6,215.05,5.0,0.0,10.16,14.0,7.0,5.0,55.0,73.9,1567.0,5669.0,7.0,0
2800.0,5,39212.0,5,3,976.86,0.0,0.0,21.0,12.0,4.0,2.0,142.0,0.0,4000.0,3434.0,4.0,0
5825.0,0,21000.0,6,4,215.65,4.0,0.0,19.72,6.0,5.0,3.0,243.0,98.3,108.0,2405.0,3.0,1
18000.0,6,150000.0,5,7,572.77,3.0,0.0,7.9,8.0,5.675353736832263,14.10822232888069,178.48733084417407,71.9,12981.0,13796.095652770158,0.0,0
5250.0,7,95000.0,6,5,2192.48,1.0,0.0,14.33,9.0,5.0,6.0,91.0,55.9,661.0,16015.0,7.0,0
13100.0,7,40682.0,5,4,490.59,0.0,0.0,18.49,3.0,2.0,50.0,121.0,93.9,821.0,6579.0,1.0,0
10000.0,7,95000.0,5,7,155.81,0.0,0.0,7.62,15.0,13.0,13.0,87.0,43.2,22020.0,3475.0,4.0,1
17500.0,10,40000.0,6,5,437.47,3.0,1.0,17.27,13.0,4.0,7.0,166.0,58.9,3950.0,8085.0,5.0,1
